dia,mes,anio,CABA_cum,VillasCABA_cum,Porc_villas,Fuente_villas
1,5,2020,1197,124,10.359231411863,Gargantapodero
3,5,2020,1304,182,13.9570552147239,Gargantapodero
6,5,2020,1506,301,19.9867197875166,Gargantapodero
7,5,2020,1583,365,23.0574857864814,Gargantapodero
8,5,2020,1713,410,23.9346176298891,Gargantapodero
9,5,2020,1796,519,28.8975501113586,Gargantapodero
10,5,2020,1961,NA,NA,NA
11,5,2020,2098,685,32.650142993327,CABA
12,5,2020,2286,759,33.2020997375328,CABA
13,5,2020,2465,891,36.1460446247465,CABA
14,5,2020,2618,972,37.1275783040489,CABA
15,5,2020,2833,1088,38.4045181786092,CABA
16,5,2020,3026,1201,39.6893588896233,CABA
17,5,2020,3173,1323,41.6955562559092,CABA
18,5,2020,3342,NA,NA,NA
19,5,2020,3566,1551,43.4941110487942,Gargantapodero
20,5,2020,3823,1651,43.1,CABA
